2026-08-24T16:46:04.904717,x,0.041595458984375
2026-08-24T16:46:04.966349,z,-0.976806640625
2026-08-24T16:46:04.968094,y,-0.1963958740234375
2026-08-24T16:54:12.113281,x,0.24053955078125
2026-08-24T16:54:12.186788,z,-0.4313812255859375
2026-08-24T16:54:12.187787,y,-0.029693603515625
2026-08-24T16:54:14.150244,x,-0.4755401611328125
2026-08-24T16:54:15.216843,z,-1.2490997314453125
2026-08-24T16:54:15.221814,y,0.752471923828125
2026-08-24T16:54:18.156479,x,-0.4604644775390625
2026-08-24T16:54:19.280505,y,-0.8044586181640625
2026-08-24T16:54:20.245688,z,0.2670440673828125
2026-08-24T16:54:22.214041,x,1.2762298583984375
2026-08-24T16:54:23.295667,y,-0.606781005859375
2026-08-24T16:54:23.296664,z,-0.8543853759765625
2026-08-24T16:54:26.254763,x,-0.1465606689453125
2026-08-24T16:54:27.346234,z,-0.5308380126953125
2026-08-24T16:54:27.355243,y,0.169830322265625
2026-08-24T16:54:30.309002,x,0.8521728515625
2026-08-24T16:54:31.400308,z,-1.41973876953125
2026-08-24T16:54:31.407364,y,-0.2058868408203125
2026-08-24T16:54:34.358320,x,0.0815277099609375
2026-08-24T16:54:35.435857,y,-0.2451629638671875
2026-08-24T16:54:36.453408,z,-0.929473876953125
2026-08-24T16:54:39.426215,x,0.30633544921875
2026-08-24T16:54:40.456650,y,-0.231597900390625
2026-08-24T16:54:41.463492,z,-0.9891815185546875
2026-08-24T16:58:14.875975,x,-0.0347137451171875
2026-08-24T16:58:14.883929,z,0.0753631591796875
2026-08-24T16:58:14.940920,y,-0.864471435546875
2026-08-24T16:58:16.919730,x,0.1179656982421875
2026-08-24T16:58:16.966916,y,-0.3874969482421875
2026-08-24T16:58:18.937514,z,-1.0470733642578125
2026-08-24T16:58:19.957737,x,0.05780029296875
2026-08-24T16:58:20.983992,y,-0.1871795654296875
2026-08-24T16:58:21.976980,z,-0.985443115234375
2026-08-24T16:58:21.985983,x,0.05682373046875
2026-08-24T16:58:23.009839,y,-0.1870880126953125
2026-08-24T16:58:25.007256,z,-0.9865264892578125
2026-08-24T16:58:26.017670,x,0.0587921142578125
2026-08-24T16:58:26.018739,y,-0.1874847412109375
2026-08-24T16:58:28.038733,z,-0.986297607421875
2026-08-24T16:58:28.045899,x,0.057952880859375
2026-08-24T16:58:29.063284,y,-0.187591552734375
2026-08-24T16:58:31.091881,z,-0.985992431640625
2026-08-24T16:58:32.100817,x,0.0572052001953125
2026-08-24T16:58:32.106555,y,-0.1872406005859375
2026-08-24T16:58:34.107041,z,-0.985687255859375
2026-08-24T16:58:34.137721,y,-0.1875
2026-08-24T16:58:36.129418,z,-0.9862213134765625
2026-08-24T16:58:37.144959,x,0.0574493408203125
2026-08-24T16:58:39.159636,y,-0.1876373291015625
2026-08-24T16:58:40.164094,z,-0.98565673828125
2026-08-24T16:58:40.171109,x,0.0570526123046875
2026-08-24T16:58:41.204660,y,-0.1874237060546875
2026-08-24T16:58:42.177987,z,-0.98553466796875
2026-08-24T16:58:43.224601,x,-0.2836151123046875
2026-08-24T16:58:44.199628,y,-0.7275543212890625
2026-08-24T16:58:45.202170,z,0.1178131103515625
