timestamp,PIR_Motion,Accel_X,Accel_Y,Accel_Z
2026-09-03 15:51:03.918,0,-0.153,-0.102,1.003
2026-09-03 15:51:03.919,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.921,0,-0.153,-0.101,1.002
2026-09-03 15:51:03.923,0,-0.153,-0.102,1.001
2026-09-03 15:51:03.925,0,-0.153,-0.101,1.001
2026-09-03 15:51:03.926,0,-0.153,-0.100,1.002
2026-09-03 15:51:03.926,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.927,0,-0.153,-0.101,1.004
2026-09-03 15:51:03.928,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.928,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.929,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.929,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.930,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.930,0,-0.154,-0.101,1.003
2026-09-03 15:51:03.931,0,-0.54,-0.101,1.003
2026-09-03 15:51:03.934,0,-0.153,-0.101,1.003
2026-09-03 15:51:03.935,0,-0.153,-0.101,1.002
2026-09-03 15:51:03.935,0,-0.153,-0.101,1.002
2026-09-03 15:51:03.936,0,-0.153,-0.101,1.002
2026-09-03 15:51:03.936,0,-0.153,-0.100,1.002
2026-09-03 15:51:04.033,0,-0.153,-0.101,1.003
2026-09-03 15:51:04.136,0,-0.153,-0.101,1.003
2026-09-03 15:51:04.239,0,-0.154,-0.100,1.004
2026-09-03 15:51:04.342,0,-0.153,-0.101,1.003
2026-09-03 15:51:04.445,0,-0.153,-0.101,1.003
2026-09-03 15:51:04.548,0,-0.153,-0.101,1.003
2026-09-03 15:51:04.651,0,-0.153,-0.101,1.003
2026-09-03 15:51:04.753,0,-0.153,-0.101,1.002
2026-09-03 15:51:04.856,0,-0.153,-0.101,1.002
2026-09-03 15:51:04.959,0,-0.154,-0.100,1.003
2026-09-03 15:51:05.061,0,-0.154,-0.101,1.003
2026-09-03 15:51:05.164,0,-0.154,-0.101,1.003
2026-09-03 15:51:05.267,0,-0.154,-0.100,1.004
2026-09-03 15:51:05.370,0,-0.154,-0.101,1.004
2026-09-03 15:51:05.472,0,-0.154,-0.101,1.003
2026-09-03 15:51:05.575,0,-0.154,-0.101,1.002
2026-09-03 15:51:05.678,0,-0.153,-0.101,1.002
2026-09-03 15:51:05.781,0,-0.153,-0.101,1.001
2026-09-03 15:51:05.885,0,-0.153,-0.101,1.002
2026-09-03 15:51:05.987,0,-0.153,-0.101,1.003
2026-09-03 15:51:06.092,0,-0.153,-0.101,1.003
2026-09-03 15:51:06.197,0,-0.154,-0.101,1.004
2026-09-03 15:51:06.299,0,-0.154,-0.101,1.004
2026-09-03 15:51:06.404,0,-0.153,-0.100,1.003
2026-09-03 15:51:06.506,0,-0.153,-0.100,1.003
2026-09-03 15:51:06.610,0,-0.153,-0.101,1.002
2026-09-03 15:51:06.714,0,-0.153,-0.101,1.002
2026-09-03 15:51:06.816,0,-0.153,-0.100,1.002
2026-09-03 15:51:06.920,0,-0.153,-0.101,1.003
2026-09-03 15:51:07.022,0,-0.153,-0.101,1.003
2026-09-03 15:51:07.125,0,-0.153,-0.101,1.003
2026-09-03 15:51:07.228,0,-0.153,-0.101,1.003
2026-09-03 15:51:07.333,0,-0.153,-0.101,1.003
2026-09-03 15:51:07.436,0,-0.153,-0.101,1.003
2026-09-03 15:51:07.540,0,-0.154,-0.101,1.003
2026-09-03 15:51:07.646,0,-0.154,-0.101,1.004
