time,value
2026-08-24T05:48:54.701Z,-0.741729736328125
2026-08-24T05:48:55.701Z,-0.7457427978515625
2026-08-24T05:48:56.703Z,-0.5718841552734375
2026-08-24T05:48:57.704Z,-0.771820068359375
2026-08-24T05:48:58.705Z,-0.690216064453125
2026-08-24T05:48:59.707Z,-0.7932281494140625
2026-08-24T05:49:00.709Z,-0.713531494140625
2026-08-24T05:49:01.71Z,-0.7004547119140625
2026-08-24T05:49:02.712Z,-0.7304534912109375
2026-08-24T05:49:03.713Z,-1.030731201171875
2026-08-24T05:49:04.715Z,-0.9480133056640625
2026-08-24T05:49:05.718Z,-0.9539337158203125
2026-08-24T05:49:06.718Z,-0.9283294677734375
2026-08-24T05:49:07.72Z,-0.9481964111328125
2026-08-24T05:49:08.722Z,-1.0042266845703125
2026-08-24T05:49:09.723Z,-1.0103759765625
2026-08-24T05:49:10.724Z,-1.0052947998046875
2026-08-24T05:49:11.726Z,-1.0059814453125
2026-08-24T05:49:12.727Z,-1.007843017578125
2026-08-24T05:49:13.729Z,-1.9976959228515625
2026-08-24T05:49:14.731Z,-0.76947021484375
2026-08-24T05:49:15.732Z,-0.729949951171875
2026-08-24T05:49:16.734Z,-0.6474761962890625
2026-08-24T05:49:17.735Z,-0.5305938720703125
2026-08-24T05:49:18.737Z,-0.5590667724609375
2026-08-24T05:49:19.738Z,-0.6979827880859375
2026-08-24T05:49:20.74Z,-0.858642578125
2026-08-24T05:49:21.742Z,-0.900909423828125
2026-08-24T05:49:22.743Z,-0.960296630859375
2026-08-24T05:49:23.745Z,-0.79510498046875
2026-08-24T05:49:24.746Z,-0.921356201171875
2026-08-24T05:49:25.748Z,-0.5628509521484375
2026-08-24T05:49:26.749Z,-0.8555450439453125
2026-08-24T05:49:27.751Z,-0.8940887451171875
2026-08-24T05:49:28.753Z,-1.00439453125
2026-08-24T05:49:29.754Z,-0.99005126953125
2026-08-24T05:49:30.755Z,-0.7948455810546875
2026-08-24T05:49:31.757Z,-0.8069610595703125
2026-08-24T05:49:32.758Z,-0.831024169921875
2026-08-24T05:49:33.76Z,-0.420257568359375
2026-08-24T05:49:34.761Z,-0.999603271484375
2026-08-24T05:49:35.763Z,-0.9257965087890625
2026-08-24T05:49:36.765Z,-0.80731201171875
2026-08-24T05:49:37.766Z,-0.866943359375
2026-08-24T05:49:38.768Z,-0.798858642578125
2026-08-24T05:49:39.769Z,-0.8037261962890625
2026-08-24T05:49:40.771Z,-0.9996337890625
2026-08-24T05:49:41.772Z,-0.794525146484375
2026-08-24T05:49:42.774Z,-0.68658447265625
2026-08-24T05:49:43.775Z,-0.7047576904296875
2026-08-24T05:49:44.777Z,-0.7047576904296875
2026-08-24T05:49:45.778Z,-0.744720458984375
2026-08-24T05:49:46.78Z,-0.6388092041015625
2026-08-24T05:49:47.819Z,-0.50286865234375
2026-08-24T05:49:48.835Z,-0.763214111328125
2026-08-24T05:49:49.851Z,-0.7133331298828125
2026-08-24T05:49:50.854Z,-0.77850341796875
2026-08-24T05:49:51.855Z,-0.7544097900390625
2026-08-24T05:49:52.857Z,-0.780242919921875
2026-08-24T05:49:53.858Z,-0.7935028076171875
2026-08-24T05:49:54.872Z,-0.789306640625
2026-08-24T05:49:55.886Z,-0.850006103515625
2026-08-24T05:49:56.9Z,-0.8307647705078125
2026-08-24T05:49:57.913Z,-0.8178253173828125
2026-08-24T05:49:58.918Z,-0.9028778076171875
2026-08-24T05:49:59.919Z,-1.389801025390625
2026-08-24T05:50:00.921Z,-1.0191192626953125
2026-08-24T05:50:01.923Z,-1.004852294921875
2026-08-24T05:50:02.924Z,-1.0074462890625
2026-08-24T05:50:03.926Z,-1.003265380859375
2026-08-24T05:50:04.927Z,-1.0081024169921875
2026-08-24T05:50:05.929Z,-1.0083465576171875
2026-08-24T05:50:06.93Z,-1.00653076171875
2026-08-24T05:50:07.932Z,-1.0063018798828125
2026-08-24T05:50:08.934Z,-1.0102386474609375
2026-08-24T05:50:09.935Z,-0.7403106689453125
2026-08-24T05:50:10.937Z,-0.66314697265625
2026-08-24T05:50:11.939Z,-0.6892242431640625
2026-08-24T05:50:12.941Z,-0.6997222900390625
2026-08-24T05:50:13.942Z,-0.69970703125
2026-08-24T05:50:14.943Z,-0.796142578125
2026-08-24T05:50:15.945Z,0.1589508056640625
2026-08-24T05:50:16.947Z,-1.399505615234375
2026-08-24T05:50:17.949Z,-0.648590087890625
2026-08-24T05:50:18.95Z,-0.7482452392578125
2026-08-24T05:50:19.952Z,-0.697662353515625
