time,value
2026-08-24T05:50:00.921Z,"{""lat"":-37.78053453477746,""lon"":145.16449707077268}"
2026-08-24T05:50:01.923Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:02.924Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:03.926Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:04.927Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:05.929Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:06.93Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:07.932Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:08.934Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:09.935Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:10.937Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:11.939Z,"{""lat"":-37.78053766075854,""lon"":145.16449435775183}"
2026-08-24T05:50:12.941Z,"{""lat"":-37.78052544115066,""lon"":145.1644813353925}"
2026-08-24T05:50:13.942Z,"{""lat"":-37.78052544115066,""lon"":145.1644813353925}"
2026-08-24T05:50:14.943Z,"{""lat"":-37.78052544115066,""lon"":145.1644813353925}"
2026-08-24T05:50:15.945Z,"{""lat"":-37.78052544115066,""lon"":145.1644813353925}"
2026-08-24T05:50:16.947Z,"{""lat"":-37.78052436472118,""lon"":145.16447878339028}"
2026-08-24T05:50:17.949Z,"{""lat"":-37.78054200454559,""lon"":145.16449391003266}"
2026-08-24T05:50:18.95Z,"{""lat"":-37.780537251443796,""lon"":145.16448708715853}"
2026-08-24T05:50:19.952Z,"{""lat"":-37.78053552428797,""lon"":145.16449452373064}"
2026-08-24T05:50:20.957Z,"{""lat"":-37.7805482248414,""lon"":145.1645063335684}"
2026-08-24T05:50:21.955Z,"{""lat"":-37.78054811943445,""lon"":145.16451249194273}"
2026-08-24T05:50:22.957Z,"{""lat"":-37.78054775368876,""lon"":145.16451937315838}"
2026-08-24T05:50:23.959Z,"{""lat"":-37.78054468639167,""lon"":145.16452913666794}"
2026-08-24T05:50:24.96Z,"{""lat"":-37.780548982938896,""lon"":145.16454021485373}"
2026-08-24T05:50:25.962Z,"{""lat"":-37.78054863462148,""lon"":145.16454126787366}"
