timestamp,PIR_Motion,Accel_X,Accel_Y,Accel_Z
54:24.4,0,0.024,0.007,1.018
54:24.4,0,0.024,0.007,1.017
54:24.4,0,0.024,0.007,1.017
54:24.4,0,0.024,0.007,1.016
54:24.4,0,0.025,0.007,1.016
54:24.4,0,0.025,0.007,1.016
54:24.4,0,0.024,0.007,1.017
54:24.4,0,0.024,0.006,1.017
54:24.4,0,0.024,0.007,1.017
54:24.4,0,0.024,0.007,1.017
54:24.5,0,0.024,0.006,1.017
54:24.7,0,0.024,0.007,1.017
54:24.9,0,0.024,0.006,1.017
54:25.1,0,0.024,0.005,1.018
54:25.3,1,0.024,0.005,1.017
54:25.5,1,0.024,0.005,1.017
54:25.7,1,0.024,0.006,1.017
54:25.9,1,0.024,0.006,1.017
54:26.1,1,0.024,0.007,1.017
54:26.3,0,0.024,0.007,1.017
54:26.5,0,0.024,0.007,1.017
54:26.7,0,0.025,0.006,1.015
54:27.0,0,0.025,0.006,1.015
54:27.2,0,0.024,0.005,1.017
54:27.4,0,0.024,0.005,1.016
54:27.6,0,0.025,0.004,1.016
54:27.8,0,0.024,0.004,1.018
54:28.0,0,0.024,0.005,1.019
54:28.2,0,0.024,0.004,1.017
54:28.4,0,0.024,0.003,1.017
54:28.6,0,0.024,0.004,1.017
54:28.8,0,0.023,0.003,1.019
54:29.0,0,0.024,0.002,1.017
54:29.2,0,0.025,0.002,1.017
54:29.4,0,0.024,0.003,1.018
54:29.6,0,0.024,0.003,1.017
54:29.8,0,0.024,0.003,1.017
54:30.0,1,0.024,0.003,1.017
54:30.2,1,0.024,0.003,1.017
54:30.4,1,0.024,0.003,1.016
54:30.6,1,0.024,0.003,1.017
54:30.8,1,0.024,0.003,1.017
54:31.0,1,0.024,0.003,1.017
54:31.2,0,0.024,0.003,1.017
54:31.4,0,0.024,0.003,1.017
54:31.6,0,0.024,0.003,1.016
54:31.8,0,0.024,0.003,1.017
54:32.0,0,0.024,0.003,1.017
54:32.2,0,0.024,0.003,1.017
54:32.4,0,0.024,0.003,1.017
54:32.6,0,0.024,0.003,1.018
54:32.9,0,0.024,0.003,1.018
54:33.1,0,0.024,0.003,1.018
54:33.3,0,0.024,0.003,1.018
54:33.5,0,0.024,0.002,1.017
54:33.7,0,0.024,0.002,1.016
54:33.9,0,0.024,0.003,1.017
54:34.1,0,0.024,0.003,1.017
54:34.3,0,0.024,0.003,1.017
54:34.5,0,0.024,0.003,1.017
54:34.7,0,0.024,0.003,1.018
54:34.9,0,0.024,0.003,1.017
54:35.1,0,0.024,0.003,1.018
54:35.3,0,0.024,0.003,1.018
54:35.5,0,0.024,0.003,1.017
54:35.7,0,0.024,0.003,1.017
54:35.9,0,0.024,0.003,1.017
54:36.1,0,0.024,0.003,1.017
54:36.3,0,0.024,0.002,1.017
54:36.5,0,0.024,0.003,1.017
54:36.7,0,0.024,0.003,1.018
54:36.9,1,0.024,0.002,1.018
54:37.1,1,0.024,0.003,1.018
54:37.3,1,0.024,0.003,1.017
54:37.5,1,0.024,0.001,1.018
54:37.7,1,0.024,0.002,1.017
54:38.0,1,0.024,0.004,1.015
54:38.2,0,0.023,0.006,1.013
54:38.4,0,0.024,0.008,1.01
54:38.6,0,0.023,0.011,1.008
54:38.8,0,0.023,0.011,1.009
54:39.0,0,0.023,0.011,1.01
54:39.2,0,0.023,0.009,1.012
54:39.4,0,0.022,0.008,1.015
54:39.6,0,0.022,0.007,1.016
54:39.8,0,0.023,0.006,1.014
54:40.0,0,0.023,0.005,1.015
54:40.2,0,0.022,0.006,1.017
54:40.4,0,0.023,0.006,1.016
54:40.6,0,0.023,0.006,1.016
54:40.8,0,0.022,0.006,1.019
54:41.0,0,0.023,0.006,1.018
54:41.2,0,0.023,0.006,1.016
54:41.4,0,0.022,0.006,1.018
54:41.6,0,0.023,0.006,1.018
54:41.8,0,0.023,0.006,1.016
54:42.0,0,0.023,0.006,1.017
54:42.2,1,0.023,0.005,1.018
54:42.4,1,0.025,0.008,1.007
54:42.6,1,0.022,0.004,1.006
54:42.8,1,0.023,0.006,1.003
54:43.0,1,0.024,0.007,1
54:43.3,0,0.023,0.006,1.002
54:43.5,0,0.021,0.004,1.012
54:43.7,0,0.024,0.008,1.013
54:43.9,0,0.023,0.006,1.017
54:44.1,0,0.022,0.005,1.02
54:44.3,0,0.023,0.007,1.018
54:44.5,0,0.023,0.006,1.017
54:44.7,0,0.022,0.006,1.019
54:44.9,0,0.023,0.007,1.019
54:45.1,0,0.023,0.006,1.018
54:45.3,0,0.023,0.007,1.019
54:45.5,0,0.022,0.006,1.019
54:45.7,0,0.022,0.006,1.018
54:45.9,0,0.021,0.008,1.019
54:46.1,0,0.021,0.007,1.019
54:46.3,0,0.021,0.007,1.017
54:46.5,0,0.022,0.009,1.017
54:46.7,0,0.022,0.008,1.017
54:46.9,0,0.022,0.004,1.015
54:47.1,0,0.023,0.006,1.017
54:47.3,0,0.023,0.006,1.017
54:47.5,0,0.023,0.004,1.017
54:47.7,0,0.023,0.006,1.018
54:47.9,0,0.023,0.008,1.02
54:48.1,0,0.023,0.007,1.019
54:48.3,0,0.022,0.006,1.019
54:48.6,0,0.023,0.007,1.018
54:48.8,1,0.023,0.007,1.018
54:49.0,1,0.023,0.006,1.016
54:49.2,1,0.022,0.006,1.015
54:49.4,1,0.023,0.007,1.016
54:49.6,1,0.022,0.006,1.017
54:49.8,0,0.022,0.006,1.016
54:50.0,0,0.023,0.006,1.017
54:50.2,0,0.023,0.006,1.017
54:50.4,0,0.022,0.005,1.016
54:50.6,0,0.022,0.006,1.016
54:50.8,0,0.022,0.006,1.017
54:51.0,0,0.022,0.005,1.017
54:51.2,0,0.022,0.006,1.017
54:51.4,0,0.022,0.007,1.018
54:51.6,0,0.023,0.006,1.019
54:51.8,0,0.023,0.006,1.019
54:52.0,0,0.023,0.007,1.02
54:52.2,0,0.022,0.006,1.02
54:52.4,0,0.023,0.006,1.019
54:52.6,0,0.023,0.006,1.018
54:52.8,0,0.022,0.006,1.016
54:53.0,0,0.023,0.006,1.015
54:53.2,0,0.023,0.006,1.015
54:53.4,0,0.023,0.006,1.015
54:53.6,1,0.023,0.007,1.016
54:53.8,1,0.023,0.007,1.017
54:54.1,1,0.022,0.006,1.016
54:54.3,1,0.022,0.007,1.017
54:54.5,1,0.022,0.007,1.017
54:54.7,0,0.022,0.006,1.016
54:54.9,0,0.022,0.006,1.017
54:55.1,0,0.022,0.006,1.017
54:55.3,0,0.022,0.006,1.017
54:55.5,0,0.022,0.006,1.017
